Tanggal,Object_ID,Provinsi,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
2020/03/04 00:00:00+00,104,Gorontalo,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,104,181
2020/03/03 00:00:00+00,64,Maluku,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,64,182
2020/03/10 00:00:00+00,315,Indonesia,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,315,183
2020/03/12 00:00:00+00,366,Kalimantan Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,366,184
2020/03/04 00:00:00+00,105,Indonesia,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,105,185
2020/03/03 00:00:00+00,65,Papua Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,65,186
2020/03/11 00:00:00+00,316,Aceh,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,316,187
2020/03/05 00:00:00+00,106,Aceh,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,106,188
2020/03/12 00:00:00+00,367,Kepulauan Riau,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,367,189
2020/03/11 00:00:00+00,317,Bali,1,0,0,0,1,1,0,100,0,317,190
2020/03/05 00:00:00+00,107,Bali,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,107,191
2020/03/03 00:00:00+00,66,Papua,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,66,192
2020/03/11 00:00:00+00,318,Banten,1,0,0,0,0,0,1,0,0,318,193
2020/03/05 00:00:00+00,108,Banten,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,108,194
2020/03/12 00:00:00+00,368,Nusa Tenggara Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,368,195
2020/03/03 00:00:00+00,67,Sulawesi Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,67,196
2020/03/11 00:00:00+00,319,Kepulauan Bangka Belitung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,319,197
2020/03/05 00:00:00+00,109,Kepulauan Bangka Belitung,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,109,198
2020/03/12 00:00:00+00,369,Sumatera Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,369,199
2020/03/03 00:00:00+00,68,Nusa Tenggara Timur,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,68,200
2020/03/11 00:00:00+00,320,Bengkulu,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,320,201
2020/03/05 00:00:00+00,110,Bengkulu,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,110,202
2020/03/12 00:00:00+00,370,Sumatera Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,370,203
2020/03/03 00:00:00+00,69,Gorontalo,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,69,204
2020/03/11 00:00:00+00,321,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,321,205
2020/03/05 00:00:00+00,111,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,111,206
2020/03/12 00:00:00+00,371,Sulawesi Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,371,207
2020/03/03 00:00:00+00,70,Indonesia,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,70,208
2020/03/11 00:00:00+00,322,DKI Jakarta,29,6,2,2,0,0,27,0,6.896551724,322,209
2020/03/05 00:00:00+00,112,DKI Jakarta,2,0,0,0,0,0,2,0,0,112,210
2020/03/12 00:00:00+00,372,Sumatera Utara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,372,211
2020/03/04 00:00:00+00,71,Aceh,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,71,212
2020/03/11 00:00:00+00,323,Jambi,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,323,213
2020/03/05 00:00:00+00,113,Jambi,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,113,214
2020/03/12 00:00:00+00,373,Sulawesi Tenggara,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,373,215
2020/03/04 00:00:00+00,72,Bali,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,72,216
2020/03/11 00:00:00+00,324,Jawa Barat,3,1,0,0,0,0,3,0,0,324,217
2020/03/05 00:00:00+00,114,Jawa Barat,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,114,218
2020/03/12 00:00:00+00,374,Sulawesi Selatan,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,374,219
